Restaurant Name,Average Rating,Total Votes
Bon Bon Pastry Shop,3.3,304
Doughlicious,3.5,304
Alaturka,2.95,302
Comesum,2.35,300
Mysore Cafe,3.6,291
Mr. Brown,3.8666666666666667,285
D�_vero��lu,4.300000000000001,283
Khana Khazana,1.85,281
Twenty Four Seven,2.1473684210526316,280
Blue Tokai Coffee Roasters,3.85,279
Baked Buns,3.4,273
Mitra Da Dhaba,2.1,273
Captain Bill$ Deliverz,2.533333333333333,273
Otik Cake Shop,3.65,271
Chalte Firte Momos & Special Foods,3.35,267
Gopala,3.29,264
Chinese Hut,2.7285714285714286,261
Tibb's Frankie,2.8428571428571425,260
Pudding & Pie,3.1666666666666665,258
Chutneez Restaurant Lounge & Bar,2.55,256
Shawarma Wala,2.066666666666667,255
Pho King Awesome,2.05,254
Movenpick,3.966666666666667,253
Big Fat Sandwich,3.2,253
Hwealthcafe,3.8,252
New Kadimi,2.9,252
Bakers Oven,3.6,252
Moti Mahal Delux- Legendary Culinary,3.6,249
Drifters Cafe,4.0,248
Red Chilli,2.5,247
The Kathis,3.0,247
Zaika,2.85,245
Viva Hyderabad,2.38,243
Beijing Street,3.7,242
Twisted Tacos,3.5999999999999996,242
Baker's Stop,3.75,241
Sibang Bakery,3.6999999999999997,240
Drool Waffles,3.6500000000000004,237
Republic of Chicken,2.4222222222222225,234
Hot Pot,2.075,232
Kanwarji's,3.4333333333333336,232
Little Italy,3.55,227
Oberoi Biryani,2.75,225
Sandoz,2.4,225
Dabba Meat,3.25,224
Punjabi Zaika,2.35,223
Black Pepper,2.05,223
Punjabi Chaap Corner,2.35,221
Green Leaf,3.25,220
Chaska,2.375,220
The Artful Baker,2.0,220
First Eat,3.8,219
Mr. Sub,2.5833333333333335,217
221 B Baker Street,3.3666666666666667,215
Kerala Cafe,3.0666666666666664,214
Arabian Delites,3.6,214
The Chocolate Room,3.5,214
Timboo Cafe,4.2,213
Shyam Sweets,3.4499999999999997,209
Stop My Starvation,4.3,209
Fast Trax,3.3,207
Punjabi Rasoi,1.25,207
Nukkadwala,2.82,206
The Chai Story,3.6999999999999997,206
Mithaas,3.05,205
Flying Cakes,2.2333333333333334,205
Dilli Darbar,3.1,204
The Pint Room,3.7,203
Hot Cherries,3.6,200
Punjabi Pakwaan,3.1333333333333333,199
Patiala Shahi,3.45,196
Chawla's Tandoori Junction,2.2666666666666666,195
Bengal Sweet Corner,2.8,192
Chick-fil-A,3.7,192
Say Cheese,2.7,192
Moon Bite,3.2,190
Big Dragon,3.35,189
Dunkin Donuts,4.0,188
Jahangeer Foods,3.25,188
Crudo Juicery,4.3,187
SGF - Spice Grill Flame,3.2,187
Yumm Biryani,3.2,187
Taste of India,2.1,186
Chawla's,3.3499999999999996,185
Nazeer Delicacies,3.3,184
Let's Noodle,1.3,182
Tamura,3.4,182
Punjabi Tadka,2.55,182
Dezertfox,3.9,181
La Americana,3.6500000000000004,180
Fit Bites,3.75,180
Habibi Express,1.5,177
4700BC Popcorn,3.5,176
Hungry Minister,3.5,176
Kathi Junction,1.625,174
Cake Palace,3.25,171
Kulcha King,1.9,170
The Tandoor,3.0,166
Sethi's The Cake Shop,3.3499999999999996,166
Nagpal's,3.45,166
Perfect Bake,3.55,165
Burger Joint,1.75,165
Cook Du Kdu,3.1500000000000004,164
Caff�� La Poya,1.85,164
Kanha Sweets,3.4499999999999997,164
Moksha,3.45,164
Hunger Strike,3.5,162
Roll Club,3.0666666666666664,162
Los Agaves,2.05,160
Hornbill,3.55,156
Chawla's Chic Inn,3.033333333333333,155
The Chinese Hut,2.8600000000000003,155
Sri Balaji,2.3333333333333335,155
